skin_tone_group,true_class_id,true_disease,predicted_class_id,predicted_disease,error_count
Light,32,folliculitis,48,lichen planus,1
Light,32,folliculitis,78,pityriasis lichenoides chronica,1
Light,32,folliculitis,92,scabies,1
Light,32,folliculitis,95,seborrheic dermatitis,1
Light,33,fordyce spots,45,langerhans cell histiocytosis,1
Light,33,fordyce spots,101,striae,1
Light,34,granuloma annulare,10,becker nevus,1
Light,34,granuloma annulare,28,erythema multiforme,1
Light,34,granuloma annulare,29,erythema nodosum,1
Light,34,granuloma annulare,31,fixed eruptions,1
Light,34,granuloma annulare,35,granuloma pyogenic,1
Light,34,granuloma annulare,36,hailey hailey disease,1
Light,34,granuloma annulare,40,incontinentia pigmenti,1
Light,34,granuloma annulare,60,mycosis fungoides,1
Light,34,granuloma annulare,68,neutrophilic dermatoses,1
Light,34,granuloma annulare,91,sarcoidosis,1
Light,34,granuloma annulare,95,seborrheic dermatitis,1
Light,35,granuloma pyogenic,56,melanoma,1
Light,35,granuloma pyogenic,59,mucous cyst,1
Light,35,granuloma pyogenic,75,photodermatoses,1
Light,36,hailey hailey disease,2,acne vulgaris,1
Light,36,hailey hailey disease,38,hidradenitis,1
Light,36,hailey hailey disease,51,lupus erythematosus,1
Light,36,hailey hailey disease,95,seborrheic dermatitis,1
Light,38,hidradenitis,1,acne,1
Light,38,hidradenitis,17,dermatomyositis,1
Light,38,hidradenitis,60,mycosis fungoides,1
Light,38,hidradenitis,64,nematode infection,1
Light,38,hidradenitis,107,tuberous sclerosis,1
Light,39,ichthyosis vulgaris,21,dyshidrotic eczema,1
Light,40,incontinentia pigmenti,7,aplasia cutis,1
Light,40,incontinentia pigmenti,13,cheilitis,1
Light,40,incontinentia pigmenti,89,rhinophyma,1
Light,40,incontinentia pigmenti,105,telangiectases,1
Light,40,incontinentia pigmenti,109,urticaria,1
Light,41,juvenile xanthogranuloma,16,dermatofibroma,1
Light,41,juvenile xanthogranuloma,31,fixed eruptions,1
Light,41,juvenile xanthogranuloma,53,lyme disease,1
Light,41,juvenile xanthogranuloma,69,nevocytic nevus,1
Light,41,juvenile xanthogranuloma,78,pityriasis lichenoides chronica,1
Light,41,juvenile xanthogranuloma,91,sarcoidosis,1
Light,42,kaposi sarcoma,85,prurigo nodularis,1
Light,42,kaposi sarcoma,86,psoriasis,1
Light,42,kaposi sarcoma,88,pyogenic granuloma,1
Light,42,kaposi sarcoma,103,superficial spreading melanoma ssm,1
Light,43,keloid,75,photodermatoses,1
Light,43,keloid,89,rhinophyma,1
Light,43,keloid,113,xeroderma pigmentosum,1
Light,44,keratosis pilaris,18,disseminated actinic porokeratosis,1
Light,44,keratosis pilaris,47,lichen amyloidosis,1
Light,44,keratosis pilaris,75,photodermatoses,1
Light,44,keratosis pilaris,93,scleroderma,1
Light,45,langerhans cell histiocytosis,70,nevus sebaceous of jadassohn,1
Light,46,lentigo maligna,8,basal cell carcinoma,1
Light,46,lentigo maligna,73,pediculosis lids,1
Light,47,lichen amyloidosis,32,folliculitis,1
Light,47,lichen amyloidosis,64,nematode infection,1
Light,48,lichen planus,2,acne vulgaris,1
Light,48,lichen planus,16,dermatofibroma,1
Light,48,lichen planus,22,eczema,1
Light,48,lichen planus,25,epidermolysis bullosa,1
Light,48,lichen planus,32,folliculitis,1
Light,48,lichen planus,33,fordyce spots,1
Light,48,lichen planus,34,granuloma annulare,1
Light,48,lichen planus,42,kaposi sarcoma,1
Light,48,lichen planus,47,lichen amyloidosis,1
Light,48,lichen planus,63,necrobiosis lipoidica,1
Light,48,lichen planus,64,nematode infection,1
Light,48,lichen planus,69,nevocytic nevus,1
Light,48,lichen planus,75,photodermatoses,1
Light,48,lichen planus,85,prurigo nodularis,1
Light,48,lichen planus,86,psoriasis,1
Light,48,lichen planus,88,pyogenic granuloma,1
Light,48,lichen planus,91,sarcoidosis,1
Light,49,lichen simplex,109,urticaria,1
Light,50,livedo reticularis,23,ehlers danlos syndrome,1
Light,50,livedo reticularis,28,erythema multiforme,1
Light,50,livedo reticularis,109,urticaria,1
Light,51,lupus erythematosus,2,acne vulgaris,1
Light,51,lupus erythematosus,13,cheilitis,1
Light,51,lupus erythematosus,22,eczema,1
Light,51,lupus erythematosus,26,erythema annulare centrifigum,1
Light,51,lupus erythematosus,63,necrobiosis lipoidica,1
Light,51,lupus erythematosus,68,neutrophilic dermatoses,1
Light,51,lupus erythematosus,75,photodermatoses,1
Light,51,lupus erythematosus,86,psoriasis,1
Light,51,lupus erythematosus,91,sarcoidosis,1
Light,51,lupus erythematosus,92,scabies,1
Light,52,lupus subacute,6,allergic contact dermatitis,1
Light,52,lupus subacute,13,cheilitis,1
Light,52,lupus subacute,16,dermatofibroma,1
Light,52,lupus subacute,34,granuloma annulare,1
Light,52,lupus subacute,51,lupus erythematosus,1
Light,52,lupus subacute,72,paronychia,1
Light,52,lupus subacute,74,perioral dermatitis,1
Light,52,lupus subacute,86,psoriasis,1
Light,52,lupus subacute,93,scleroderma,1
Light,52,lupus subacute,98,squamous cell carcinoma,1
Light,53,lyme disease,0,acanthosis nigricans,1
Light,53,lyme disease,8,basal cell carcinoma,1
Light,53,lyme disease,14,congenital nevus,1
Light,53,lyme disease,42,kaposi sarcoma,1
Light,53,lyme disease,68,neutrophilic dermatoses,1
Light,53,lyme disease,108,tungiasis,1
Light,54,lymphangioma,6,allergic contact dermatitis,1
Light,54,lymphangioma,9,basal cell carcinoma morpheiform,1
Light,54,lymphangioma,22,eczema,1
Light,54,lymphangioma,32,folliculitis,1
Light,54,lymphangioma,56,melanoma,1
Light,54,lymphangioma,75,photodermatoses,1
Light,54,lymphangioma,88,pyogenic granuloma,1
Light,55,malignant melanoma,6,allergic contact dermatitis,1
Light,55,malignant melanoma,8,basal cell carcinoma,1
Light,55,malignant melanoma,17,dermatomyositis,1
Light,55,malignant melanoma,38,hidradenitis,1
Light,55,malignant melanoma,93,scleroderma,1
Light,55,malignant melanoma,98,squamous cell carcinoma,1
Light,56,melanoma,8,basal cell carcinoma,1
Light,56,melanoma,39,ichthyosis vulgaris,1
Light,56,melanoma,52,lupus subacute,1
Light,56,melanoma,69,nevocytic nevus,1
Light,56,melanoma,72,paronychia,1
Light,56,melanoma,86,psoriasis,1
Light,57,milia,1,acne,1
Light,57,milia,8,basal cell carcinoma,1
Light,57,milia,48,lichen planus,1
Light,57,milia,68,neutrophilic dermatoses,1
Light,57,milia,78,pityriasis lichenoides chronica,1
Light,57,milia,91,sarcoidosis,1
Light,57,milia,105,telangiectases,1
Light,58,mucinosis,6,allergic contact dermatitis,1
Light,58,mucinosis,7,aplasia cutis,1
Light,58,mucinosis,19,drug eruption,1
Light,58,mucinosis,22,eczema,1
Light,59,mucous cyst,6,allergic contact dermatitis,1
Light,59,mucous cyst,32,folliculitis,1
Light,59,mucous cyst,52,lupus subacute,1
Light,59,mucous cyst,55,malignant melanoma,1
Light,59,mucous cyst,98,squamous cell carcinoma,1
Light,60,mycosis fungoides,0,acanthosis nigricans,1
Light,60,mycosis fungoides,1,acne,1
