true_class_id,true_disease,predicted_class_id,predicted_disease,error_count
47,lichen amyloidosis,0,acanthosis nigricans,1
47,lichen amyloidosis,22,eczema,1
47,lichen amyloidosis,32,folliculitis,1
38,hidradenitis,107,tuberous sclerosis,1
31,fixed eruptions,32,folliculitis,1
48,lichen planus,2,acne vulgaris,1
48,lichen planus,5,actinic keratosis,1
48,lichen planus,6,allergic contact dermatitis,1
48,lichen planus,7,aplasia cutis,1
48,lichen planus,16,dermatofibroma,1
48,lichen planus,22,eczema,1
48,lichen planus,25,epidermolysis bullosa,1
48,lichen planus,29,erythema nodosum,1
48,lichen planus,32,folliculitis,1
48,lichen planus,33,fordyce spots,1
48,lichen planus,34,granuloma annulare,1
48,lichen planus,63,necrobiosis lipoidica,1
47,lichen amyloidosis,93,scleroderma,1
31,fixed eruptions,53,lyme disease,1
31,fixed eruptions,109,urticaria,1
32,folliculitis,22,eczema,1
32,folliculitis,48,lichen planus,1
32,folliculitis,58,mucinosis,1
32,folliculitis,61,myiasis,1
32,folliculitis,63,necrobiosis lipoidica,1
32,folliculitis,73,pediculosis lids,1
34,granuloma annulare,31,fixed eruptions,1
32,folliculitis,80,pityriasis rubra pilaris,1
32,folliculitis,92,scabies,1
32,folliculitis,95,seborrheic dermatitis,1
44,keratosis pilaris,79,pityriasis rosea,1
33,fordyce spots,32,folliculitis,1
33,fordyce spots,40,incontinentia pigmenti,1
33,fordyce spots,45,langerhans cell histiocytosis,1
33,fordyce spots,86,psoriasis,1
33,fordyce spots,101,striae,1
34,granuloma annulare,10,becker nevus,1
34,granuloma annulare,19,drug eruption,1
34,granuloma annulare,27,erythema elevatum diutinum,1
34,granuloma annulare,28,erythema multiforme,1
34,granuloma annulare,29,erythema nodosum,1
32,folliculitis,78,pityriasis lichenoides chronica,1
44,keratosis pilaris,18,disseminated actinic porokeratosis,1
44,keratosis pilaris,47,lichen amyloidosis,1
32,folliculitis,104,syringoma,1
53,lyme disease,107,tuberous sclerosis,1
53,lyme disease,108,tungiasis,1
54,lymphangioma,6,allergic contact dermatitis,1
52,lupus subacute,72,paronychia,1
48,lichen planus,69,nevocytic nevus,1
48,lichen planus,79,pityriasis rosea,1
48,lichen planus,83,porphyria,1
48,lichen planus,84,port wine stain,1
48,lichen planus,88,pyogenic granuloma,1
48,lichen planus,91,sarcoidosis,1
48,lichen planus,94,scleromyxedema,1
48,lichen planus,96,seborrheic keratosis,1
57,milia,91,sarcoidosis,1
48,lichen planus,99,stasis edema,1
49,lichen simplex,5,actinic keratosis,1
49,lichen simplex,15,dariers disease,1
49,lichen simplex,28,erythema multiforme,1
49,lichen simplex,53,lyme disease,1
51,lupus erythematosus,56,melanoma,1
49,lichen simplex,109,urticaria,1
50,livedo reticularis,23,ehlers danlos syndrome,1
50,livedo reticularis,28,erythema multiforme,1
50,livedo reticularis,85,prurigo nodularis,1
50,livedo reticularis,109,urticaria,1
51,lupus erythematosus,1,acne,1
48,lichen planus,98,squamous cell carcinoma,1
8,basal cell carcinoma,7,aplasia cutis,1
51,lupus erythematosus,59,mucous cyst,1
51,lupus erythematosus,63,necrobiosis lipoidica,1
51,lupus erythematosus,66,neurofibromatosis,1
51,lupus erythematosus,68,neutrophilic dermatoses,1
51,lupus erythematosus,86,psoriasis,1
51,lupus erythematosus,92,scabies,1
51,lupus erythematosus,98,squamous cell carcinoma,1
51,lupus erythematosus,109,urticaria,1
51,lupus erythematosus,111,vitiligo,1
52,lupus subacute,6,allergic contact dermatitis,1
52,lupus subacute,13,cheilitis,1
53,lyme disease,79,pityriasis rosea,1
52,lupus subacute,34,granuloma annulare,1
52,lupus subacute,48,lichen planus,1
31,fixed eruptions,8,basal cell carcinoma,1
52,lupus subacute,74,perioral dermatitis,1
52,lupus subacute,76,pilar cyst,1
52,lupus subacute,86,psoriasis,1
52,lupus subacute,93,scleroderma,1
52,lupus subacute,98,squamous cell carcinoma,1
53,lyme disease,0,acanthosis nigricans,1
53,lyme disease,8,basal cell carcinoma,1
53,lyme disease,14,congenital nevus,1
53,lyme disease,42,kaposi sarcoma,1
53,lyme disease,68,neutrophilic dermatoses,1
52,lupus subacute,16,dermatofibroma,1
60,mycosis fungoides,1,acne,1
60,mycosis fungoides,2,acne vulgaris,1
60,mycosis fungoides,5,actinic keratosis,1
60,mycosis fungoides,6,allergic contact dermatitis,1
60,mycosis fungoides,22,eczema,1
60,mycosis fungoides,26,erythema annulare centrifigum,1
60,mycosis fungoides,39,ichthyosis vulgaris,1
60,mycosis fungoides,51,lupus erythematosus,1
60,mycosis fungoides,53,lyme disease,1
60,mycosis fungoides,93,scleroderma,1
59,mucous cyst,52,lupus subacute,1
54,lymphangioma,19,drug eruption,1
51,lupus erythematosus,2,acne vulgaris,1
54,lymphangioma,23,ehlers danlos syndrome,1
54,lymphangioma,33,fordyce spots,1
54,lymphangioma,56,melanoma,1
54,lymphangioma,75,photodermatoses,1
54,lymphangioma,88,pyogenic granuloma,1
54,lymphangioma,92,scabies,1
55,malignant melanoma,6,allergic contact dermatitis,1
55,malignant melanoma,17,dermatomyositis,1
55,malignant melanoma,38,hidradenitis,1
55,malignant melanoma,93,scleroderma,1
55,malignant melanoma,98,squamous cell carcinoma,1
55,malignant melanoma,108,tungiasis,1
54,lymphangioma,22,eczema,1
51,lupus erythematosus,7,aplasia cutis,1
51,lupus erythematosus,13,cheilitis,1
51,lupus erythematosus,19,drug eruption,1
51,lupus erythematosus,22,eczema,1
51,lupus erythematosus,26,erythema annulare centrifigum,1
51,lupus erythematosus,32,folliculitis,1
51,lupus erythematosus,48,lichen planus,1
49,lichen simplex,100,stevens johnson syndrome,1
57,milia,105,telangiectases,1
57,milia,109,urticaria,1
58,mucinosis,6,allergic contact dermatitis,1
58,mucinosis,7,aplasia cutis,1
60,mycosis fungoides,0,acanthosis nigricans,1
58,mucinosis,19,drug eruption,1
58,mucinosis,22,eczema,1
58,mucinosis,60,mycosis fungoides,1
58,mucinosis,76,pilar cyst,1
59,mucous cyst,6,allergic contact dermatitis,1
59,mucous cyst,22,eczema,1
59,mucous cyst,32,folliculitis,1
59,mucous cyst,38,hidradenitis,1
59,mucous cyst,48,lichen planus,1
54,lymphangioma,9,basal cell carcinoma morpheiform,1
59,mucous cyst,55,malignant melanoma,1
59,mucous cyst,86,psoriasis,1
59,mucous cyst,98,squamous cell carcinoma,1
58,mucinosis,17,dermatomyositis,1
61,myiasis,53,lyme disease,1
61,myiasis,65,neurodermatitis,1
61,myiasis,68,neutrophilic dermatoses,1
62,naevus comedonicus,32,folliculitis,1
109,urticaria,76,pilar cyst,1
62,naevus comedonicus,91,sarcoidosis,1
62,naevus comedonicus,103,superficial spreading melanoma ssm,1
63,necrobiosis lipoidica,26,erythema annulare centrifigum,1
108,tungiasis,11,behcets disease,1
63,necrobiosis lipoidica,42,kaposi sarcoma,1
63,necrobiosis lipoidica,56,melanoma,1
65,neurodermatitis,34,granuloma annulare,1
64,nematode infection,23,ehlers danlos syndrome,1
