disease,best_group,best_accuracy,worst_group,worst_accuracy,accuracy_gap,accuracy_gap_pp,groups_available,total_support,robust_disparity
becker nevus,Light,0.7142857142857143,Medium,0.3333333333333333,0.380952380952381,38.0952380952381,2,10,False
erythema annulare centrifigum,Light,0.6666666666666666,Medium,0.2857142857142857,0.38095238095238093,38.095238095238095,2,13,False
mucinosis,Medium,0.5,Light,0.1428571428571428,0.3571428571428572,35.71428571428572,3,13,False
syringoma,Light,0.8571428571428571,Dark,0.5,0.3571428571428571,35.71428571428571,3,18,False
livedo reticularis,Medium,0.75,Light,0.4,0.35,35.0,2,9,False
tungiasis,Light,1.0,Unknown,0.6666666666666666,0.33333333333333337,33.333333333333336,4,23,True
pediculosis lids,Light,1.0,Unknown,0.6666666666666666,0.33333333333333337,33.333333333333336,3,22,True
folliculitis,Dark,0.8333333333333334,Unknown,0.5,0.33333333333333337,33.333333333333336,4,51,True
ehlers danlos syndrome,Dark,1.0,Light,0.6666666666666666,0.33333333333333337,33.333333333333336,3,20,True
dyshidrotic eczema,Medium,0.3333333333333333,Light,0.0,0.3333333333333333,33.33333333333333,3,11,False
paronychia,Light,0.3333333333333333,Medium,0.0,0.3333333333333333,33.33333333333333,2,8,False
tuberous sclerosis,Dark,0.6666666666666666,Light,0.3333333333333333,0.3333333333333333,33.33333333333333,3,21,True
port wine stain,Medium,0.3333333333333333,Dark,0.0,0.3333333333333333,33.33333333333333,3,9,False
stevens johnson syndrome,Light,0.3333333333333333,Dark,0.0,0.3333333333333333,33.33333333333333,3,17,False
striae,Medium,0.3333333333333333,Dark,0.0,0.3333333333333333,33.33333333333333,3,10,False
pityriasis rosea,Medium,0.6875,Light,0.375,0.3125,31.25,3,28,True
porphyria,Medium,0.3,Dark,0.0,0.3,30.0,3,19,False
neutrophilic dermatoses,Medium,0.7222222222222222,Light,0.4285714285714285,0.2936507936507937,29.36507936507937,4,55,True
seborrheic keratosis,Light,0.2857142857142857,Medium,0.0,0.2857142857142857,28.57142857142857,3,11,False
